userid,total_login_count,days_since_last_login,email_freq,platform
4,596,5.0,DAILY,Barilla
11,24,18.0,WEEKLY,Barilla
2285,109,69.0,BI_MONTHLY,Barilla
2297,54,42.0,WEEKLY,Barilla
2307,23,41.0,WEEKLY,Barilla
2318,14,67.0,WEEKLY,Barilla
2334,28,6.0,WEEKLY,Barilla
2340,27,5.0,WEEKLY,Barilla
2344,20,53.0,WEEKLY,Barilla
2380,10,35.0,WEEKLY,Barilla
2383,26,6.0,WEEKLY,Barilla
2385,3,67.0,WEEKLY,Barilla
2396,13,5.0,WEEKLY,Barilla
2406,32,4.0,WEEKLY,Barilla
2409,71,48.0,WEEKLY,Barilla
2428,18,39.0,WEEKLY,Barilla
2431,9,63.0,WEEKLY,Barilla
2433,12,67.0,WEEKLY,Barilla
2445,3,80.0,WEEKLY,Barilla
2446,46,17.0,WEEKLY,Barilla
2449,64,40.0,DAILY,Barilla
2451,12,32.0,WEEKLY,Barilla
2452,22,67.0,WEEKLY,Barilla
2483,38,70.0,WEEKLY,Barilla
2507,77,4.0,WEEKLY,Barilla
2524,11,39.0,WEEKLY,Barilla
2527,29,53.0,WEEKLY,Barilla
2546,131,31.0,WEEKLY,Barilla
2576,58,45.0,WEEKLY,Barilla
2602,11,4.0,WEEKLY,Barilla
3637,2,4.0,WEEKLY,Barilla
4174,16,60.0,WEEKLY,Barilla
4180,21,54.0,WEEKLY,Barilla
4190,14,4.0,WEEKLY,Barilla
4211,5,4.0,WEEKLY,Barilla
4216,5,67.0,WEEKLY,Barilla
4242,18,3.0,WEEKLY,Barilla
4243,36,2.0,WEEKLY,Barilla
4263,5,80.0,WEEKLY,Barilla
4264,3,80.0,WEEKLY,Barilla
4266,4,73.0,WEEKLY,Barilla
4267,2,80.0,WEEKLY,Barilla
4268,3,6.0,WEEKLY,Barilla
4269,3,39.0,WEEKLY,Barilla
4270,1,82.0,WEEKLY,Barilla
4271,1,80.0,WEEKLY,Barilla
4272,4,35.0,WEEKLY,Barilla
4273,2,73.0,WEEKLY,Barilla
4274,1,69.0,WEEKLY,Barilla
4276,2,60.0,WEEKLY,Barilla
4277,1,60.0,WEEKLY,Barilla
4278,2,60.0,WEEKLY,Barilla
4279,1,41.0,WEEKLY,Barilla
4281,3,18.0,WEEKLY,Barilla
4282,1,6.0,WEEKLY,Barilla
4283,5,5.0,WEEKLY,Barilla
4284,2,3.0,WEEKLY,Barilla
4286,1,3.0,WEEKLY,Barilla
4,35,52.0,BI_MONTHLY,Bayer CH
14,10,87.0,BI_MONTHLY,Bayer CH
16,49,4.0,WEEKLY,Bayer CH
17,19,73.0,BI_MONTHLY,Bayer CH
18,4,66.0,BI_MONTHLY,Bayer CH
19,16,66.0,BI_MONTHLY,Bayer CH
20,23,40.0,BI_MONTHLY,Bayer CH
25,4,47.0,BI_MONTHLY,Bayer CH
26,8,48.0,BI_MONTHLY,Bayer CH
30,4,49.0,BI_MONTHLY,Bayer CH
31,6,83.0,BI_MONTHLY,Bayer CH
